Experiment	bias spectroscopy	
Date	26.08.2016 14:33:05	
User		
X (m)	59.9268E-9	
Y (m)	127.448E-9	
Z (m)	-81.4676E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	15E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	Current [bwd] (A)	LIX 1 omega [bwd] (A)
-500.000E-3	-1.00098E-9	4.14949E-12	-1.00513E-9	4.20622E-12
-498.000E-3	-999.180E-12	4.34716E-12	-1.00396E-9	4.39392E-12
-496.000E-3	-997.369E-12	4.31938E-12	-1.00143E-9	4.50453E-12
-494.000E-3	-995.124E-12	4.49369E-12	-999.663E-12	4.64442E-12
-492.000E-3	-992.808E-12	4.74319E-12	-997.358E-12	4.85503E-12
-490.000E-3	-991.516E-12	5.08064E-12	-995.573E-12	5.03564E-12
-488.000E-3	-989.215E-12	5.16720E-12	-992.930E-12	5.09371E-12
-486.000E-3	-987.011E-12	5.47658E-12	-990.854E-12	5.39396E-12
-484.000E-3	-984.393E-12	5.57692E-12	-988.455E-12	5.45362E-12
-482.000E-3	-982.551E-12	5.81132E-12	-986.042E-12	5.85638E-12
-480.000E-3	-979.061E-12	5.90373E-12	-983.333E-12	5.99363E-12
-478.000E-3	-976.915E-12	6.01748E-12	-980.867E-12	6.10144E-12
-476.000E-3	-973.715E-12	6.15975E-12	-978.643E-12	6.20030E-12
-474.000E-3	-971.703E-12	6.45924E-12	-976.286E-12	6.38580E-12
-472.000E-3	-968.390E-12	6.62271E-12	-973.217E-12	6.62730E-12
-470.000E-3	-965.956E-12	6.61033E-12	-970.361E-12	6.78858E-12
-468.000E-3	-962.853E-12	6.66108E-12	-967.017E-12	6.86539E-12
-466.000E-3	-959.982E-12	7.04517E-12	-964.506E-12	7.04104E-12
-464.000E-3	-956.411E-12	7.01111E-12	-960.937E-12	7.03159E-12
