,deltaI score,deltaR score
Decision Tree spec points,0.9987831495987954,0.9994524171804896
Decision Tree peak info,0.9975056881231802,0.9973309703228971
Decision Tree spec points and peak info,0.9987905293759207,0.9994084653231735
Random Forest spec points,0.9998755772463596,0.9999444374089635
Random Forest peak info,0.9983050565492325,0.9987608900707452
Random Forest spec points and peak info,0.9998757021375599,0.9999399939154539
AdaBoost spec points,0.9999157683715907,0.9999750127921785
AdaBoost peak info,0.9980231268072299,0.9985848184917137
AdaBoost spec points and peak info,0.9998985879665979,0.9999752143204084
Gradient Boosting spec points,0.9978883622862641,0.9981657742237077
Gradient Boosting peak info,0.996024223234231,0.9966623555735761
Gradient Boosting spec points and peak info,0.9981636593341302,0.9978654795721046
Independent Random Forests spec points,0.9999043828827241,0.9999812688570825
Independent Random Forests peak info,0.998263542276944,0.9985907621336887
Independent Random Forests spec points and peak info,0.9999045489942123,0.9999811064801011
